m, m_max, m_max_0, ef_construction, ml, select_neighbor_mode, total_time_for_building_graph, total_time_for_query, total_distance_count_for_building_graph, total_distance_count_for_query, recall
15, 45, 45, 15, 0.369269, simple, 1163, 33, 7432316, 186566, 0.9869
15, 45, 45, 25, 0.369269, simple, 1411, 33, 8985213, 186236, 0.8699
15, 45, 45, 35, 0.369269, simple, 1632, 36, 10258394, 186736, 0.989
15, 45, 45, 45, 0.369269, simple, 1848, 33, 11566857, 187974, 0.9884
25, 5, 5, 5, 0.310667, simple, 161, 6, 902331, 28286, 0.1653
25, 5, 5, 15, 0.310667, simple, 353, 8, 2001263, 41024, 0.114
25, 5, 5, 25, 0.310667, simple, 551, 8, 3057430, 36730, 0.1468
25, 5, 5, 35, 0.310667, simple, 637, 9, 3532673, 42154, 0.3241
25, 5, 5, 45, 0.310667, simple, 707, 9, 3863074, 41214, 0.3749
25, 5, 15, 5, 0.310667, simple, 256, 16, 1523723, 82426, 0.6191
25, 5, 15, 15, 0.310667, simple, 775, 15, 5053376, 76108, 0.5702
25, 5, 15, 25, 0.310667, simple, 1173, 19, 7617049, 100956, 0.2992
25, 5, 15, 35, 0.310667, simple, 1373, 20, 8848199, 104550, 0.3714
25, 5, 15, 45, 0.310667, simple, 1557, 20, 9880680, 106318, 0.3609
25, 5, 25, 5, 0.310667, simple, 268, 17, 1588840, 86520, 0.5395
25, 5, 25, 15, 0.310667, simple, 968, 21, 6118652, 104014, 0.4192
25, 5, 25, 25, 0.310667, simple, 1750, 26, 11784307, 146764, 0.6241
25, 5, 25, 35, 0.310667, simple, 1827, 23, 12222204, 123474, 0.8044
25, 5, 25, 45, 0.310667, simple, 1951, 23, 12808101, 123070, 0.8139
25, 5, 35, 5, 0.310667, simple, 275, 16, 1700860, 81462, 0.3759
25, 5, 35, 15, 0.310667, simple, 1073, 31, 6898371, 149648, 0.6576
25, 5, 35, 25, 0.310667, simple, 1917, 29, 12769668, 156114, 0.7983
25, 5, 35, 35, 0.310667, simple, 2253, 31, 14635886, 172104, 0.9879
25, 5, 35, 45, 0.310667, simple, 2425, 30, 15717578, 165588, 0.9687
25, 5, 45, 5, 0.310667, simple, 300, 21, 1839993, 112156, 0.6778
25, 5, 45, 15, 0.310667, simple, 1059, 32, 6690485, 163238, 0.8058
25, 5, 45, 25, 0.310667, simple, 2141, 36, 13741072, 186382, 0.9907
25, 5, 45, 35, 0.310667, simple, 2266, 33, 14877524, 188052, 0.9937
25, 5, 45, 45, 0.310667, simple, 2544, 36, 16463947, 201398, 0.994
25, 15, 5, 5, 0.310667, simple, 204, 8, 1205618, 35260, 0.2395
25, 15, 5, 15, 0.310667, simple, 425, 8, 2499085, 39714, 0.3036
25, 15, 5, 25, 0.310667, simple, 621, 9, 3567901, 41406, 0.338
25, 15, 5, 35, 0.310667, simple, 687, 9, 3941316, 44102, 0.3419
25, 15, 5, 45, 0.310667, simple, 744, 9, 4169377, 45528, 0.3537
25, 15, 15, 5, 0.310667, simple, 277, 17, 1710539, 88022, 0.7063
25, 15, 15, 15, 0.310667, simple, 808, 17, 5255959, 90328, 0.7605
25, 15, 15, 25, 0.310667, simple, 1205, 18, 7901409, 92640, 0.7869
25, 15, 15, 35, 0.310667, simple, 1349, 19, 8665879, 95370, 0.8345
25, 15, 15, 45, 0.310667, simple, 1496, 19, 9506013, 97646, 0.8858
25, 15, 25, 5, 0.310667, simple, 284, 20, 1751622, 103890, 0.7553
25, 15, 25, 15, 0.310667, simple, 963, 26, 6242316, 133638, 0.9018
25, 15, 25, 25, 0.310667, simple, 1710, 24, 11570209, 126624, 0.8432
25, 15, 25, 35, 0.310667, simple, 1882, 23, 12593512, 122752, 0.7998
25, 15, 25, 45, 0.310667, simple, 2101, 24, 13542321, 130942, 0.8956
25, 15, 35, 5, 0.310667, simple, 314, 23, 1868400, 114038, 0.7958
25, 15, 35, 15, 0.310667, simple, 1027, 30, 6594773, 159210, 0.9505
25, 15, 35, 25, 0.310667, simple, 1943, 30, 12878421, 164032, 0.9861
25, 15, 35, 35, 0.310667, simple, 2120, 32, 13840483, 163740, 0.9513
25, 15, 35, 45, 0.310667, simple, 2348, 30, 15211241, 166118, 0.9865
25, 15, 45, 5, 0.310667, simple, 288, 20, 1766468, 98428, 0.601
25, 15, 45, 15, 0.310667, simple, 1047, 32, 6744682, 176122, 0.9864
25, 15, 45, 25, 0.310667, simple, 2056, 34, 13668152, 188922, 0.9913
25, 15, 45, 35, 0.310667, simple, 2271, 34, 15143184, 190784, 0.9829
25, 15, 45, 45, 0.310667, simple, 2451, 34, 16111994, 191308, 0.9937
25, 25, 5, 5, 0.310667, simple, 203, 6, 1220800, 31774, 0.2054
25, 25, 5, 15, 0.310667, simple, 444, 9, 2627165, 43234, 0.3198
25, 25, 5, 25, 0.310667, simple, 656, 9, 3829634, 45278, 0.3432
25, 25, 5, 35, 0.310667, simple, 727, 9, 4217171, 46446, 0.366
25, 25, 5, 45, 0.310667, simple, 805, 10, 4610061, 48038, 0.3994
25, 25, 15, 5, 0.310667, simple, 280, 18, 1725665, 87564, 0.7109
25, 25, 15, 15, 0.310667, simple, 841, 19, 5501941, 95340, 0.8193
25, 25, 15, 25, 0.310667, simple, 1243, 19, 8113061, 94548, 0.7615
25, 25, 15, 35, 0.310667, simple, 1423, 20, 9057023, 99622, 0.874
25, 25, 15, 45, 0.310667, simple, 1570, 20, 9857260, 100582, 0.8863
25, 25, 25, 5, 0.310667, simple, 301, 21, 1825322, 102718, 0.7653
25, 25, 25, 15, 0.310667, simple, 1015, 26, 6492289, 138352, 0.9608
25, 25, 25, 25, 0.310667, simple, 1774, 24, 11893440, 129852, 0.8593
25, 25, 25, 35, 0.310667, simple, 1980, 25, 13138127, 135326, 0.957
25, 25, 25, 45, 0.310667, simple, 2120, 25, 14004094, 136432, 0.9566
25, 25, 35, 5, 0.310667, simple, 301, 21, 1860146, 114000, 0.7527
25, 25, 35, 15, 0.310667, simple, 1056, 30, 6821201, 161942, 0.9797
25, 25, 35, 25, 0.310667, simple, 1979, 30, 13120742, 167408, 0.976
25, 25, 35, 35, 0.310667, simple, 2153, 31, 14121855, 166974, 0.9468
25, 25, 35, 45, 0.310667, simple, 2337, 30, 15193690, 166424, 0.9388
25, 25, 45, 5, 0.310667, simple, 306, 22, 1914596, 115804, 0.7741
25, 25, 45, 15, 0.310667, simple, 1062, 32, 6943469, 179804, 0.9863
25, 25, 45, 25, 0.310667, simple, 2064, 39, 13721384, 193136, 0.9925
25, 25, 45, 35, 0.310667, simple, 2228, 34, 14685880, 189354, 0.9337
25, 25, 45, 45, 0.310667, simple, 2536, 35, 16498247, 193422, 0.9937
25, 35, 5, 5, 0.310667, simple, 205, 8, 1230242, 35756, 0.2265
25, 35, 5, 15, 0.310667, simple, 456, 9, 2716564, 44672, 0.3054
